Identifier,SMILES,Synthesis Procedure,Optical Measurements,Absorption Wavelength (nm),Emission Wavelength (nm),Photoluminescence Quantum Yield,Photoluminescence Lifetime (ns),Spectral Gain Factor (cm^2 s),Emission Gain Cross Section (cm^2)
A002B007C025,Cn1ncc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)c1-c1ccc(-c2c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cnn2C)s1,First-Generation Conditions,Failed Synthesis,,,,,,
A015B023C036,CN(C)c1ccc(-c2ccccc2-c2ccccc2-c2cccc(-c3ccccc3-c3ccccc3-c3ccc(N(C)C)c4ccccc34)c2)c2ccccc12,First-Generation Conditions,Failed Synthesis,,,,,,
A015B020C036,CN(C)c1ccc(-c2cccc(F)c2-c2cccc(-c3c(F)cccc3-c3ccc(N(C)C)c4ccccc34)c2)c2ccccc12,First-Generation Conditions,Failed Synthesis,,,,,,
A015B008C036,CN(C)c1ccc(-c2ccccc2-c2cccc(-c3ccccc3-c3ccc(N(C)C)c4ccccc34)c2)c2ccccc12,First-Generation Conditions,Full Characterization,325.3086167922433,435.863047999644,0.0254378454896309,1.1910017174094418,,4.2860898729074956e-18
A010B015C058,CCCCCCc1cc(-c2sc3ccccc3c2-c2cccc(-n3c4ccccc4c4ccccc43)c2)c(CCCCCC)cc1-c1sc2ccccc2c1-c1cccc(-n2c3ccccc3c3ccccc32)c1,First-Generation Conditions,Failed Synthesis,,,,,,
A016B019C058,CCCCCCc1cc(-c2ccc(-c3ccc4ncn(C)c4c3)cn2)c(CCCCCC)cc1-c1ccc(-c2ccc3ncn(C)c3c2)cn1,First-Generation Conditions,Poor Yield,,,,,,
A012B016C025,CCn1c2ccccc2c2cc(-c3cc(Cl)cc(-c4ccc(-c5cc(Cl)cc(-c6ccc7c(c6)c6ccccc6n7CC)c5)s4)c3)ccc21,First-Generation Conditions,Full Characterization,300.1890812457546,445.13738224084034,0.4537267398227851,1.275262108769193,,9.666092451053796e-17
A017B012C026,Cn1ccc2cc(-c3cc(F)cc(-c4sc(-c5cc(F)cc(-c6ccc7c(ccn7C)c6)c5)c([N+](=O)[O-])c4[N+](=O)[O-])c3)ccc21,First-Generation Conditions,Failed Synthesis,,,,,,
A011B006C007,c1ccc(-n2c3ccccc3c3ccc(-c4ccoc4-c4ccc5c(c4)[nH]c4cc(-c6occc6-c6ccc7c8ccccc8n(-c8ccccc8)c7c6)ccc45)cc32)cc1,First-Generation Conditions,Full Characterization,351.9151361148582,411.8551027884186,0.4424136569081915,1.2771496390452872,,7.661659577921911e-17
A010B010C020,COc1cc(-c2cccc(-c3cccc(-n4c5ccccc5c5ccccc54)c3)c2F)c(OC)cc1-c1cccc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)c1F,First-Generation Conditions,Full Characterization,300.1890812457546,407.9762025877279,0.0738668922181958,1.1376437049793324,,9.897361003483947e-18
A012B009C010,CCn1c2ccccc2c2cc(-c3cccc(-c4ccc5cc(-c6cccc(-c7ccc8c(c7)c7ccccc7n8CC)c6)ccc5c4)c3)ccc21,First-Generation Conditions,Full Characterization,300.1890812457546,421.93159666807617,0.5168467890707481,1.8189985760047225,,6.13249556099841e-17
A002B026C035,c1ccc(N(c2ccccc2)c2ccc(-c3ncccc3-c3ccccc3-c3ccccc3-c3cccnc3-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1,First-Generation Conditions,Full Characterization,300.1890812457546,411.07947055914326,0.2410840804401158,1.1469093489680076,,3.96944728989332e-17
A032B022C034,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(F)c(-c4ccc5ccc(-c6cc(-c7ccc8c(ccn8C(=O)OC(C)(C)C)c7)ccc6F)cc5c4)c3)ccc21,First-Generation Conditions,Failed Synthesis,,,,,,
A012B011C011,CCn1c2ccccc2c2cc(-c3cc(-c4cc5sc(-c6cc(-c7ccc8c(c7)c7ccccc7n8CC)cc(C(F)(F)F)c6)cc5s4)cc(C(F)(F)F)c3)ccc21,First-Generation Conditions,Full Characterization,353.477563234399,471.3568905299264,0.271727086395698,1.0784382800681374,,6.386248142596525e-17
A001B006C014,Fc1c(F)c(-c2occc2-c2ccc(-n3c4ccccc4c4ccccc43)cc2)c(F)c(-c2occc2-c2ccc(-n3c4ccccc4c4ccccc43)cc2)c1F,First-Generation Conditions,Failed Synthesis,,,,,,
A011B022C043,Fc1ccc(-c2ccc3c4ccccc4n(-c4ccccc4)c3c2)cc1-c1cc(F)c(-c2cc(-c3ccc4c5ccccc5n(-c5ccccc5)c4c3)ccc2F)c2nsnc12,First-Generation Conditions,Failed Synthesis,,,,,,
A017B018C023,Cn1ccc2cc(-c3ccc(-c4ccc(-c5ccc(-c6ccc7c(ccn7C)c6)nc5)c(N)c4)cn3)ccc21,First-Generation Conditions,Failed Synthesis,,,,,,
A001B023C042,Oc1cc(-c2ccccc2-c2ccccc2-c2ccc(-n3c4ccccc4c4ccccc43)cc2)c(O)cc1-c1ccccc1-c1ccccc1-c1ccc(-n2c3ccccc3c3ccccc32)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A015B001C014,CN(C)c1ccc(-c2ccc(/C=C/c3c(F)c(F)c(F)c(/C=C/c4ccc(-c5ccc(N(C)C)c6ccccc56)cc4)c3F)cc2)c2ccccc12,First-Generation Conditions,Failed Synthesis,,,,,,
A017B002C032,Cn1ccc2cc(-c3ccsc3-c3cc(C(F)(F)F)c(-c4sccc4-c4ccc5c(ccn5C)c4)cn3)ccc21,First-Generation Conditions,Full Characterization,300.1890812457546,467.5064360604953,0.0786688339420514,1.644688710126303,,1.0639538236410097e-17
A017B025C032,Cn1ccc2cc(-c3ccc(-c4cc(C(F)(F)F)c(-c5ccc(-c6ccc7c(ccn7C)c6)s5)cn4)s3)ccc21,First-Generation Conditions,Full Characterization,378.4361741800912,480.59044735950346,0.3255480756810066,0.7762044643037859,,1.2345477467461235e-16
A016B021C006,Cn1cnc2ccc(-c3ccc(-c4ccc5c(c4)C(=O)c4cc(-c6ccc(-c7ccc8ncn(C)c8c7)cc6)ccc4-5)cc3)cc21,First-Generation Conditions,Failed Synthesis,,,,,,
A001B007C006,Cn1ncc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)c1-c1ccc2c(c1)C(=O)c1cc(-c3c(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cnn3C)ccc1-2,First-Generation Conditions,Failed Synthesis,,,,,,
A011B001C043,Fc1cc(C=Cc2ccc(-c3ccc4c5ccccc5n(-c5ccccc5)c4c3)cc2)c2nsnc2c1C=Cc1ccc(-c2ccc3c4ccccc4n(-c4ccccc4)c3c2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A016B011C017,Cc1cc(-c2ccc(-c3cc(-c4ccc5ncn(C)c5c4)cc(C(F)(F)F)c3)cc2)c(C)cc1-c1ccc(-c2cc(-c3ccc4ncn(C)c4c3)cc(C(F)(F)F)c2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A002B004C042,Oc1cc(-c2cccnc2-c2ccc(N(c3ccccc3)c3ccccc3)cc2)c(O)cc1-c1cccnc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A014B008C022,CN(C)c1ccc(-c2ccccc2-c2ccc(-c3ccccc3-c3ccc(N(C)C)cc3)c([N+](=O)[O-])c2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A016B026C016,Cn1cnc2ccc(-c3ncccc3-c3ccc(-c4ccc(-c5ccc(-c6cccnc6-c6ccc7ncn(C)c7c6)cc5)cc4)cc3)cc21,First-Generation Conditions,Failed Synthesis,,,,,,
A015B022C010,CN(C)c1ccc(-c2ccc(F)c(-c3ccc4cc(-c5cc(-c6ccc(N(C)C)c7ccccc67)ccc5F)ccc4c3)c2)c2ccccc12,First-Generation Conditions,Poor Yield,,,,,,
A001B018C032,FC(F)(F)c1cc(-c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)nc2)ncc1-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)nc1,First-Generation Conditions,Poor Yield,,,,,,
A012B002C041,CCn1c2ccccc2c2cc(-c3ccsc3-c3cccc(-c4sccc4-c4ccc5c(c4)c4ccccc4n5CC)n3)ccc21,First-Generation Conditions,Full Characterization,300.1890812457546,442.8197961137553,0.0901973381896179,0.6272780545951688,,2.8101014125210404e-17
A015B002C041,CN(C)c1ccc(-c2ccsc2-c2cccc(-c3sccc3-c3ccc(N(C)C)c4ccccc34)n2)c2ccccc12,First-Generation Conditions,Failed Synthesis,,,,,,
A011B008C020,COc1cc(-c2ccccc2-c2ccc3c4ccccc4n(-c4ccccc4)c3c2)c(OC)cc1-c1ccccc1-c1ccc2c3ccccc3n(-c3ccccc3)c2c1,First-Generation Conditions,Poor Yield,,,,,,
A012B007C001,CCn1c2ccccc2c2cc(-c3cnn(C)c3-c3ccc(-c4ccc(-c5c(-c6ccc7c(c6)c6ccccc6n7CC)cnn5C)cc4)cc3)ccc21,First-Generation Conditions,Full Characterization,300.1890812457546,430.4481062196101,0.6389156472613812,1.6274980581098522,,8.559568678043026e-17
A011B007C027,Cn1ncc(-c2ccc3c4ccccc4n(-c4ccccc4)c3c2)c1-c1sc(-c2c(-c3ccc4c5ccccc5n(-c5ccccc5)c4c3)cnn2C)c2c1OCCO2,First-Generation Conditions,Failed Synthesis,,,,,,
A017B007C015,Cn1ncc(-c2ccc3c(ccn3C)c2)c1-c1ccc(-c2ccc(-c3c(-c4ccc5c(ccn5C)c4)cnn3C)cc2N)c(N)c1,First-Generation Conditions,Failed Synthesis,,,,,,
A001B024C022,O=[N+]([O-])c1cc(-c2cc3cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)ccc3o2)ccc1-c1cc2cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)ccc2o1,First-Generation Conditions,Failed Synthesis,,,,,,
